cases,companies,revenue_rows,profit_rows,revenue_mean,revenue_median,revenue_trim10,revenue_p90,revenue_max,profit_mean_pp,profit_median_pp,profit_trim10_pp,profit_p90_pp,profit_max_pp,revenue_coverage,profit_coverage,revenue_interval_score,profit_interval_score,panel,key
1,1,3,3,0.015067040305213558,0.018138916107821514,0.015067040305213558,0.020898066422743944,0.02158785400147455,0.3567806895541694,0.2759375007685555,0.3567806895541694,0.6274727453929901,0.7153565565490988,1.0,1.0,0.4882683374899117,0.2441226722853103,mechanism,semiconductor-materials-content-ma
1,1,3,3,0.03309157878028019,0.03773965815508908,0.03309157878028019,0.055106920339068166,0.059448735885062935,0.5193712786844912,0.2880209172304061,0.5193712786844912,1.0361227259061585,1.2231481780750966,1.0,1.0,0.45967177788358216,0.1531756835662385,mechanism,server-rack-bom-pass-through
3,1,7,7,0.027995694622535604,0.026121350488847523,0.027995694622535604,0.048587806170432506,0.05029275991951797,0.456624309600355,0.49663169443621286,0.456624309600355,0.6219763065309105,0.6806203116840631,1.0,1.0,0.23233203325159138,0.05262412435918638,mechanism,subscriber-content-economics
3,1,9,9,0.03932280720858486,0.03989255964253458,0.03932280720858486,0.06226111085229551,0.07122750462223956,0.6184190655898019,0.4713207846375356,0.6184190655898019,1.2516563267394998,1.2960754182242684,1.0,1.0,0.295869036417143,0.11830453997644742,mechanism,wafer-fab-equipment
37,17,37,37,0.0229210324346396,0.018436326391259757,0.020321052578796985,0.04551602682851593,0.08839496056539993,0.8001018274047726,0.4713207846375356,0.7212329972014376,1.8846150132080617,2.470381689795753,1.0,0.972972972972973,0.1794522365252184,0.08255127475590955,horizon,1
36,17,36,36,0.03590868790994704,0.031380555907694986,0.033510836826696325,0.0694431465290764,0.13593769015455773,1.1912137018881301,0.8452231904374679,0.9633307318861827,2.5442724830784385,5.035590762021647,1.0,1.0,0.3286049480933289,0.14673081522279882,horizon,2
32,17,32,32,0.05360870028658841,0.03912100881066002,0.043933872132003046,0.08779719735901291,0.3191763191763192,2.1199806124324936,1.1264901121712079,1.149266600866174,2.7062488638088165,30.21831936466083,1.0,1.0,0.48451900532453895,0.2118281034187941,horizon,3
21,14,59,59,0.04233710353595308,0.026408664962881894,0.034939970910240724,0.07944988011680136,0.3191763191763192,1.4684748100570817,0.7312512550131434,0.9123581922622235,2.1389691164822473,30.21831936466083,1.0,1.0,0.33442119601515485,0.14698407973462807,cutoff_period,2018-2020
13,9,37,37,0.029850066827356882,0.028206404386561974,0.028162991555055354,0.05639444146975516,0.08476313669977784,1.356047816824556,1.0281583690238565,1.1593454578868725,3.0881504170426357,5.035590762021647,1.0,0.972972972972973,0.32524086480296094,0.15892926150052958,cutoff_period,2021+
3,2,9,9,0.02821419919746125,0.026121350488847523,0.02821419919746125,0.04801948825407068,0.05029275991951797,0.39033971821252006,0.390055167730087,0.39033971821252006,0.6024283048131929,0.6806203116840631,1.0,1.0,0.24548405450827554,0.06252916039201892,cutoff_period,<=2017
15,13,45,45,0.034877690522979655,0.025184525846392015,0.03210868861844018,0.06951973897696119,0.13960872682577072,1.0061799791121877,0.6788835562904925,0.9108933344689221,2.0176752404742206,3.156001255230528,1.0,1.0,0.31411412363203334,0.14028587342491242,split,calibration
22,13,60,60,0.038112888341275054,0.029094383851129307,0.030579459053906424,0.07155872918225126,0.3191763191763192,1.5841456903290103,0.786389418209546,0.9149021135874618,2.4755729403919307,30.21831936466083,1.0,0.9833333333333333,0.3306497248289445,0.1467056919878294,split,holdout
