company,case_id,horizon,original_revenue_error,overlay_revenue_error,original_margin_error_pp,overlay_margin_error_pp
Amazon AWS,AWS@FY2022,2,0.03306184685187249,0.005154585648605668,5.0355907620216485,4.761670564731979
Amazon AWS,AWS@FY2016,3,0.023582481585108218,0.01284740617813019,0.2309427282590093,0.8908778003941897
Amazon AWS,AWS@FY2018,3,0.019324137487540565,0.017264628004339387,0.29325423619818736,0.3666808359369931
Amazon AWS,AWS@FY2020,3,0.002677479423074749,0.04008711961204606,0.13950439084588595,0.5204306812892945
Amazon AWS,AWS@FY2022,3,0.0755486502233443,0.04105760691473003,1.4290153427850072,0.7690802706498303
Amkor Technology,AMKR@FY2020,1,0.0225352860688959,0.005003651930835501,0.437146982509411,0.113991204464158
Amkor Technology,AMKR@FY2020,2,0.01291460230681861,0.01759530998551602,0.0799885659250652,0.20803235130534148
Amkor Technology,AMKR@FY2020,3,0.014906048148065463,0.050177446279602585,1.1015587777968294,1.7408086103831257
Applied Materials,AMAT@FY2019,1,0.011742820602255651,0.00637837273550653,0.37495640041855083,0.05180062237329608
Applied Materials,AMAT@FY2019,2,0.06777088843602302,0.04276666088540078,1.0331458119266834,0.7572083111581271
Applied Materials,AMAT@FY2019,3,0.04983517548962576,0.01860505802026891,1.2240149113746774,0.8157546727626865
Arista Networks,ANET@FY2020,1,0.016294571608158205,0.0017431584755819088,0.24664290637909403,0.11228567457408545
Arista Networks,ANET@FY2020,2,0.06420682398643338,0.03910700118202944,0.38072531041083124,0.10478780964227496
Arista Networks,ANET@FY2020,3,0.09558906843626326,0.06586279473647584,1.656526982689634,1.2482667440776467
Broadcom,AVGO@FY2019,1,0.004688546550569253,0.023111033910967926,0.5188100022326427,0.8777385831858222
Broadcom,AVGO@FY2019,2,0.016393442622950793,0.01400894187779428,1.9684274438372817,1.6924899430687255
Broadcom,AVGO@FY2019,3,0.06634942625666364,0.03566210091986006,3.1560012552305317,2.7477410166185408
Entegris,ENTG@FY2021,1,0.00547435080634461,0.02391124707885782,0.07904801134485417,0.2798805696083253
Entegris,ENTG@FY2021,2,0.02158785400147455,0.053164205852429126,0.2759375007685563,0.012083416461850405
Entegris,ENTG@FY2021,3,0.018138916107821514,0.05352266727255153,0.7153565565490982,0.3070963179371091
II-VI / Coherent,COHR@FY2021,1,0.005009925779770695,0.01323472538996537,0.41160226769293384,0.08844648964768087
II-VI / Coherent,COHR@FY2021,2,0.031026530493595068,0.005036746628760919,1.0281583690238563,1.3161792862542625
II-VI / Coherent,COHR@FY2021,3,0.019608776112605534,0.05504360985539381,1.2336664338559955,1.8729162664422927
Intel,INTC@FY2017,1,0.019026648599819316,0.0010390152888745314,0.5357908794915218,0.19660728198089572
Intel,INTC@FY2019,1,0.017555575532639044,0.00045903213277559516,0.3429007614878081,0.0037171639771820253
Intel,INTC@FY2021,1,0.046721857455514285,0.06591508928346033,2.359016946513378,2.698200544024003
Intel,INTC@FY2017,2,0.0004863475300492821,0.03252192037796152,0.21428240579911773,0.5379544357748749
Intel,INTC@FY2019,2,0.012958088681919428,0.018646993318485423,1.020657145378749,1.3443291753545061
Intel,INTC@FY2021,2,0.032676845909862036,0.06574315851589572,1.6142161666613979,1.937888196637156
Intel,INTC@FY2017,3,0.023976780921314604,0.009943308143645168,0.4082602386119909,0.23098959397430718
KLA,KLA@FY2019,1,0.018328664940762098,0.0018781581587386663,0.9739832380692128,1.2773940326719107
KLA,KLA@FY2020,1,0.03161474339091509,0.015386880090314598,1.6804079362478852,1.3769971416451874
KLA,KLA@FY2021,1,0.04471213974385037,0.028703758055716178,1.9691125137943146,1.6657017191916168
KLA,KLA@FY2022,1,0.028206404386561974,0.011921425326435657,0.8993538742029337,0.5959430796002358
KLA,KLA@FY2019,2,0.03161474339091509,0.010913930945001777,1.6804079362478852,1.3984287272484046
KLA,KLA@FY2020,2,0.07727877134349191,0.057554101885836456,1.942374545879872,1.6603953368803914
KLA,KLA@FY2021,2,0.047261180771139125,0.026894836413669097,0.2719028938107826,0.010076315188698004
KLA,KLA@FY2022,2,0.031822170803486635,0.011125792456434752,0.2526997236477264,0.029279485351754175
KLA,KLA@FY2019,3,0.08813431521003902,0.05972560756297646,2.7266882713700724,2.3759310339649815
KLA,KLA@FY2020,3,0.06631595715571627,0.03722750975570195,0.6392498325862981,0.28849259518121073
KLA,KLA@FY2021,3,0.031822170803486635,0.001659087184053305,0.2526997236477264,0.09805751375736094
KLA,KLA@FY2022,3,0.05397772750971895,0.02450488889426358,0.8035194861238466,0.4527622487187557
Lam Research,LRCX@FY2020,1,0.056484447376787476,0.04014920887990974,1.296075418224266,0.9729196401790112
Lam Research,LRCX@FY2021,1,0.018984051757240623,0.001999562800771158,0.47132078463753757,0.14816500659228282
Lam Research,LRCX@FY2022,1,0.024587061801475144,0.007699578670843515,0.28014939627069424,0.04300638177456051
Lam Research,LRCX@FY2020,2,0.07122750462223956,0.04251999112874527,1.2405515538683076,0.9646140530997513
Lam Research,LRCX@FY2021,2,0.007373892303854077,0.02330727829766302,0.5011626570663452,0.22522515629778894
Lam Research,LRCX@FY2022,2,0.060019512409809496,0.09278375188429455,0.1255125266952426,0.15042497407331368
Lam Research,LRCX@FY2020,3,0.024587061801475144,0.00931181795062717,0.28014939627069424,0.35910043631560384
Lam Research,LRCX@FY2021,3,0.03989255964253458,0.07603232307394131,0.21942841072953811,0.41982142185675997
Lam Research,LRCX@FY2022,3,0.05074917316184758,0.0177595147582998,1.1514214465455836,0.5121716139592856
Marvell Technology,MRVL@FY2021,1,0.025184525846392015,0.007700408004174504,1.4043184765968606,1.0811626985516076
Marvell Technology,MRVL@FY2022,1,0.020204067842421812,0.00263062138678104,1.4343350319569588,1.1111792539117058
